Olcum,Cinsiyet,YasAy,L,M,S
KiloKg,E,0,1.09,3.4,0.131
KiloKg,E,1,1,4.4,0.154
KiloKg,E,2,0.9,5.5,0.145
KiloKg,E,3,0.8,6.4,0.14
KiloKg,E,6,0.54,8.1,0.132
KiloKg,E,9,0.35,9.3,0.124
KiloKg,E,12,0.19,10.2,0.127
KiloKg,E,15,0.06,10.9,0.124
KiloKg,E,18,-0.05,11.5,0.123
KiloKg,E,21,-0.16,12.1,0.122
KiloKg,E,24,-0.26,12.7,0.122
KiloKg,E,27,-0.37,13.3,0.124
KiloKg,E,30,-0.47,13.8,0.124
KiloKg,E,33,-0.56,14.3,0.126
KiloKg,E,36,-0.66,14.8,0.131
KiloKg,K,0,0.83,3.3,0.128
KiloKg,K,1,1.22,4.1,0.134
KiloKg,K,2,1.17,5.1,0.132
KiloKg,K,3,0.76,5.8,0.126
KiloKg,K,6,0.08,7.4,0.12
KiloKg,K,9,0.25,8.6,0.121
KiloKg,K,12,0.25,9.4,0.121
KiloKg,K,15,0.21,10.1,0.12
KiloKg,K,18,0.22,10.7,0.122
KiloKg,K,21,0.23,11.3,0.123
KiloKg,K,24,0.15,11.9,0.124
KiloKg,K,27,0,12.5,0.124
KiloKg,K,30,0.17,13.1,0.123
KiloKg,K,33,0.27,13.7,0.123
KiloKg,K,36,0.3,14.2,0.122
BoyCm,E,0,1,50,0.044
BoyCm,E,1,1,54,0.05
BoyCm,E,2,1,57.9,0.048
BoyCm,E,3,1,61.3,0.044
BoyCm,E,6,1,68,0.041
BoyCm,E,9,1,72.8,0.039
BoyCm,E,12,1,76.9,0.042
BoyCm,E,15,1,80.2,0.042
BoyCm,E,18,1,83.1,0.043
BoyCm,E,21,1,85.7,0.044
BoyCm,E,24,1,88.2,0.044
BoyCm,E,27,1,90.5,0.043
BoyCm,E,30,1,92.6,0.042
BoyCm,E,33,1,94.8,0.041
BoyCm,E,36,1,96.8,0.041
BoyCm,K,0,1,49.4,0.043
BoyCm,K,1,1,53.1,0.043
BoyCm,K,2,1,56.8,0.042
BoyCm,K,3,1,59.9,0.041
BoyCm,K,6,1,66.4,0.039
BoyCm,K,9,1,71.2,0.038
BoyCm,K,12,1,75.1,0.038
BoyCm,K,15,1,78.5,0.039
BoyCm,K,18,1,81.5,0.04
BoyCm,K,21,1,84.3,0.04
BoyCm,K,24,1,86.8,0.041
BoyCm,K,27,1,89.1,0.041
BoyCm,K,30,1,91.2,0.042
BoyCm,K,33,1,93.4,0.042
BoyCm,K,36,1,95.4,0.042
BasCevresiCm,E,0,1,34.9,0.040
BasCevresiCm,E,1,1,37.9,0.037
BasCevresiCm,E,2,1,39.7,0.035
BasCevresiCm,E,3,1,41.3,0.033
BasCevresiCm,E,6,1,44.0,0.033
BasCevresiCm,E,9,1,45.8,0.032
BasCevresiCm,E,12,1,47.1,0.031
BasCevresiCm,E,15,1,47.8,0.031
BasCevresiCm,E,18,1,48.4,0.031
BasCevresiCm,E,21,1,48.9,0.031
BasCevresiCm,E,24,1,49.3,0.031
BasCevresiCm,E,27,1,49.6,0.031
BasCevresiCm,E,30,1,49.8,0.031
BasCevresiCm,E,33,1,49.9,0.031
BasCevresiCm,E,36,1,50.0,0.031
BasCevresiCm,E,42,1,50.8,0.030
BasCevresiCm,E,48,1,51.1,0.030
BasCevresiCm,E,54,1,51.4,0.029
BasCevresiCm,E,60,1,51.6,0.029
BasCevresiCm,E,66,1,51.7,0.028
BasCevresiCm,E,72,1,51.8,0.028
BasCevresiCm,E,84,1,52.0,0.028
BasCevresiCm,E,96,1,52.5,0.027
BasCevresiCm,E,108,1,53.0,0.027
BasCevresiCm,E,120,1,53.5,0.027
BasCevresiCm,E,132,1,54.0,0.027
BasCevresiCm,E,144,1,54.7,0.027
BasCevresiCm,E,156,1,55.2,0.027
BasCevresiCm,E,168,1,55.9,0.027
BasCevresiCm,E,180,1,56.7,0.027
BasCevresiCm,E,192,1,57.2,0.026
BasCevresiCm,E,204,1,57.5,0.026
BasCevresiCm,E,216,1,57.7,0.026
BasCevresiCm,K,0,1,34.5,0.040
BasCevresiCm,K,1,1,37.1,0.033
BasCevresiCm,K,2,1,38.8,0.031
BasCevresiCm,K,3,1,40.0,0.031
BasCevresiCm,K,6,1,42.9,0.031
BasCevresiCm,K,9,1,44.6,0.030
BasCevresiCm,K,12,1,45.8,0.028
BasCevresiCm,K,15,1,46.6,0.028
BasCevresiCm,K,18,1,47.2,0.028
BasCevresiCm,K,21,1,47.6,0.029
BasCevresiCm,K,24,1,48.0,0.030
BasCevresiCm,K,27,1,48.2,0.030
BasCevresiCm,K,30,1,48.4,0.031
BasCevresiCm,K,33,1,48.5,0.031
BasCevresiCm,K,36,1,48.7,0.031
BasCevresiCm,K,42,1,49.6,0.030
BasCevresiCm,K,48,1,50.1,0.029
BasCevresiCm,K,54,1,50.4,0.029
BasCevresiCm,K,60,1,50.7,0.029
BasCevresiCm,K,66,1,50.9,0.029
BasCevresiCm,K,72,1,51.1,0.028
BasCevresiCm,K,84,1,51.4,0.028
BasCevresiCm,K,96,1,51.8,0.028
BasCevresiCm,K,108,1,52.3,0.028
BasCevresiCm,K,120,1,52.9,0.029
BasCevresiCm,K,132,1,53.4,0.028
BasCevresiCm,K,144,1,54.1,0.027
BasCevresiCm,K,156,1,54.7,0.025
BasCevresiCm,K,168,1,55.2,0.024
BasCevresiCm,K,180,1,55.5,0.024
BasCevresiCm,K,192,1,55.8,0.023
BasCevresiCm,K,204,1,55.9,0.023
BasCevresiCm,K,216,1,56.1,0.022
BKI,E,0,-0.2676,13.406,0.0927
BKI,E,3,-0.3521,16.052,0.0786
BKI,E,6,-0.4033,17.102,0.0767
BKI,E,12,-0.3879,17.272,0.0781
BKI,E,24,-0.3509,16.913,0.0804
BKI,E,36,-0.3058,16.236,0.084
BKI,K,0,-0.2485,13.337,0.0906
BKI,K,3,-0.3322,16.061,0.0784
BKI,K,6,-0.3829,17.091,0.0772
BKI,K,12,-0.3744,17.135,0.0787
BKI,K,24,-0.3491,16.79,0.0815
BKI,K,36,-0.3098,16.143,0.0847
KiloKg,E,42,-0.47,15.9,0.131
KiloKg,E,48,-0.51,16.8,0.133
KiloKg,E,54,-0.55,17.7,0.135
KiloKg,E,60,-0.59,18.6,0.137
KiloKg,E,66,-0.63,19.6,0.139
KiloKg,E,72,-0.67,20.7,0.141
KiloKg,E,84,-0.74,23.2,0.147
KiloKg,E,96,-0.78,23.9,0.155
KiloKg,E,108,-0.78,28.8,0.167
KiloKg,E,120,-0.69,32.2,0.183
KiloKg,E,132,-0.46,37.8,0.204
KiloKg,E,144,-0.13,44.3,0.215
KiloKg,E,156,0.08,49.9,0.223
KiloKg,E,168,0.2,56.2,0.23
KiloKg,E,180,0.27,62.1,0.236
KiloKg,E,192,0.31,66.2,0.24
KiloKg,E,204,0.34,69.2,0.243
KiloKg,E,216,0.36,71.8,0.245
KiloKg,K,42,-0.16,15.1,0.13
KiloKg,K,48,-0.2,16.1,0.13
KiloKg,K,54,-0.24,17.3,0.14
KiloKg,K,60,-0.28,18.4,0.14
KiloKg,K,66,-0.33,19.5,0.15
KiloKg,K,72,-0.36,20.6,0.15
KiloKg,K,84,-0.42,22.9,0.16
KiloKg,K,96,-0.44,25.7,0.17
KiloKg,K,108,-0.4,28.9,0.18
KiloKg,K,120,-0.26,32.6,0.2
KiloKg,K,132,-0.07,38.2,0.2
KiloKg,K,144,-0.06,45.1,0.18
KiloKg,K,156,0.04,50,0.15
KiloKg,K,168,-0.06,53.3,0.13
KiloKg,K,180,-0.13,55.3,0.12
KiloKg,K,192,-0.17,56.3,0.12
KiloKg,K,204,-0.2,57.2,0.12
KiloKg,K,216,-0.24,58.1,0.11
BoyCm,E,42,1,100.5,0.041
BoyCm,E,48,1,104,0.041
BoyCm,E,54,1,107.3,0.041
BoyCm,E,60,1,110.4,0.041
BoyCm,E,66,1,113.3,0.041
BoyCm,E,72,1,116.1,0.041
BoyCm,E,84,1,121.5,0.041
BoyCm,E,96,1,126.9,0.042
BoyCm,E,108,1,132.1,0.042
BoyCm,E,120,1,137.6,0.043
BoyCm,E,132,1,143.8,0.045
BoyCm,E,144,1,150.6,0.048
BoyCm,E,156,1,157.7,0.05
BoyCm,E,168,1,164.9,0.047
BoyCm,E,180,1,170.3,0.042
BoyCm,E,192,1,173.4,0.038
BoyCm,E,204,1,175,0.037
BoyCm,E,216,1,176.2,0.035
BoyCm,K,42,1,99,0.043
BoyCm,K,48,1,102.5,0.043
BoyCm,K,54,1,105.9,0.042
BoyCm,K,60,1,109.1,0.042
BoyCm,K,66,1,112.1,0.042
BoyCm,K,72,1,115.1,0.041
BoyCm,K,84,1,121.1,0.041
BoyCm,K,96,1,126.7,0.042
BoyCm,K,108,1,132.1,0.044
BoyCm,K,120,1,137.9,0.047
BoyCm,K,132,1,145.4,0.047
BoyCm,K,144,1,153.1,0.042
BoyCm,K,156,1,157.8,0.038
BoyCm,K,168,1,160.4,0.037
BoyCm,K,180,1,161.7,0.036
BoyCm,K,192,1,162.4,0.036
BoyCm,K,204,1,162.7,0.036
BoyCm,K,216,1,163.1,0.036
BKI,E,42,1,50.8,0.03
BKI,E,48,1,51.1,0.03
BKI,E,54,1,51.4,0.029
BKI,E,60,1,51.6,0.029
BKI,E,66,1,51.7,0.028
BKI,E,72,1,51.8,0.028
BKI,E,84,1,52,0.028
BKI,E,96,1,52.5,0.027
BKI,E,108,1,53,0.027
BKI,E,120,1,53.5,0.027
BKI,E,132,1,54,0.027
BKI,E,144,1,54.7,0.027
BKI,E,156,1,55.2,0.027
BKI,E,168,1,55.9,0.027
BKI,E,180,1,56.7,0.027
BKI,E,192,1,57.2,0.026
BKI,E,204,1,57.5,0.026
BKI,E,216,1,57.7,0.026
BKI,K,42,1,49.6,0.03
BKI,K,48,1,50.1,0.029
BKI,K,54,1,50.4,0.029
BKI,K,60,1,50.7,0.029
BKI,K,66,1,50.9,0.029
BKI,K,72,1,51.1,0.028
BKI,K,84,1,51.4,0.028
BKI,K,96,1,51.8,0.028
BKI,K,108,1,52.3,0.028
BKI,K,120,1,52.9,0.029
BKI,K,132,1,53.4,0.028
BKI,K,144,1,54.1,0.027
BKI,K,156,1,54.7,0.025
BKI,K,168,1,55.2,0.024
BKI,K,180,1,55.5,0.024
BKI,K,192,1,55.8,0.023
BKI,K,204,1,55.9,0.023
BKI,K,216,1,56.1,0.022
